MensajeID: 1 | ProductorSocket: 115 | Grupo: grupo_03 | ConsumidorID: 89 | Timestamp: 1746157326
MensajeID: 1 | ProductorSocket: 115 | Grupo: grupo_02 | ConsumidorID: 61 | Timestamp: 1746157326
MensajeID: 2 | ProductorSocket: 123 | Grupo: grupo_02 | ConsumidorID: 10 | Timestamp: 1746157326
MensajeID: 2 | ProductorSocket: 123 | Grupo: grupo_03 | ConsumidorID: 38 | Timestamp: 1746157326
MensajeID: 3 | ProductorSocket: 113 | Grupo: grupo_03 | ConsumidorID: 8 | Timestamp: 1746157326
MensajeID: 3 | ProductorSocket: 113 | Grupo: grupo_02 | ConsumidorID: 40 | Timestamp: 1746157326
MensajeID: 4 | ProductorSocket: 112 | Grupo: grupo_03 | ConsumidorID: 11 | Timestamp: 1746157326
MensajeID: 5 | ProductorSocket: 118 | Grupo: grupo_03 | ConsumidorID: 47 | Timestamp: 1746157326
MensajeID: 1 | ProductorSocket: 115 | Grupo: grupo_01 | ConsumidorID: 12 | Timestamp: 1746157326
MensajeID: 6 | ProductorSocket: 116 | Grupo: grupo_03 | ConsumidorID: 41 | Timestamp: 1746157326
MensajeID: 2 | ProductorSocket: 123 | Grupo: grupo_01 | ConsumidorID: 66 | Timestamp: 1746157326
MensajeID: 4 | ProductorSocket: 112 | Grupo: grupo_02 | ConsumidorID: 13 | Timestamp: 1746157326
MensajeID: 3 | ProductorSocket: 113 | Grupo: grupo_01 | ConsumidorID: 9 | Timestamp: 1746157326
MensajeID: 7 | ProductorSocket: 131 | Grupo: grupo_03 | ConsumidorID: 14 | Timestamp: 1746157326
MensajeID: 5 | ProductorSocket: 118 | Grupo: grupo_02 | ConsumidorID: 55 | Timestamp: 1746157326
MensajeID: 6 | ProductorSocket: 116 | Grupo: grupo_02 | ConsumidorID: 70 | Timestamp: 1746157326
MensajeID: 4 | ProductorSocket: 112 | Grupo: grupo_01 | ConsumidorID: 48 | Timestamp: 1746157326
MensajeID: 5 | ProductorSocket: 118 | Grupo: grupo_01 | ConsumidorID: 6 | Timestamp: 1746157326
