MensajeID: 1 | ProductorSocket: 10 | Grupo: grupo_02 | ConsumidorID: 1 | Timestamp: 1745987293
MensajeID: 1 | ProductorSocket: 10 | Grupo: grupo_01 | ConsumidorID: 0 | Timestamp: 1745987293
MensajeID: 1 | ProductorSocket: 10 | Grupo: grupo_03 | ConsumidorID: 2 | Timestamp: 1745987293
MensajeID: 2 | ProductorSocket: 11 | Grupo: grupo_03 | ConsumidorID: 2 | Timestamp: 1745987293
MensajeID: 2 | ProductorSocket: 11 | Grupo: grupo_01 | ConsumidorID: 0 | Timestamp: 1745987293
MensajeID: 2 | ProductorSocket: 11 | Grupo: grupo_02 | ConsumidorID: 1 | Timestamp: 1745987293
MensajeID: 3 | ProductorSocket: 10 | Grupo: grupo_02 | ConsumidorID: 1 | Timestamp: 1745987294
MensajeID: 3 | ProductorSocket: 10 | Grupo: grupo_03 | ConsumidorID: 2 | Timestamp: 1745987294
MensajeID: 3 | ProductorSocket: 10 | Grupo: grupo_01 | ConsumidorID: 0 | Timestamp: 1745987294
MensajeID: 4 | ProductorSocket: 11 | Grupo: grupo_01 | ConsumidorID: 0 | Timestamp: 1745987295
MensajeID: 4 | ProductorSocket: 11 | Grupo: grupo_03 | ConsumidorID: 2 | Timestamp: 1745987295
MensajeID: 4 | ProductorSocket: 11 | Grupo: grupo_02 | ConsumidorID: 1 | Timestamp: 1745987295
MensajeID: 5 | ProductorSocket: 10 | Grupo: grupo_01 | ConsumidorID: 0 | Timestamp: 1745987295
MensajeID: 5 | ProductorSocket: 10 | Grupo: grupo_03 | ConsumidorID: 2 | Timestamp: 1745987295
MensajeID: 5 | ProductorSocket: 10 | Grupo: grupo_02 | ConsumidorID: 1 | Timestamp: 1745987295
